City,City URL,Data Center Name,Name,Address,Data Center URL,Latitude,Longitude
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Cardinal - Building 3,Prologis,"Route 47 & Galena Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-cardinal-building-3/,41.715903,-88.481318
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 23,Prologis,"W Beecher Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-23/,41.699089,-88.47846
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 3,Prologis,"E Beecher Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-3/,41.697537,-88.470296
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 9,Prologis,"Galena Rd & W Beecher Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-9/,41.71045,-88.478516
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 16,Prologis,"Eldamain Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-16/,41.705765,-88.483085
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,CyrusOne Bliter Road - Building 1,CyrusOne Data Centers,"2725 Bilter Rd, Aurora, IL, 60502, USA",https://www.datacentermap.com/usa/illinois/aurora/cyrusone-bliter-road-building-1/,41.80197918585469,-88.24844869188574
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Cardinal - Building 4,Prologis,"Route 47 & Galena Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-cardinal-building-4/,41.713654,-88.48079
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,CyrusOne Bliter Road - Building 2,CyrusOne Data Centers,"2725 Bilter Rd, Aurora, IL, 60502, USA",https://www.datacentermap.com/usa/illinois/aurora/cyrusone-bliter-road-building-2/,41.8030574920121,-88.24604729147454
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 10,Prologis,"Eldamain Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-10/,41.70946,-88.482102
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 14,Prologis,"Eldamain Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-14/,41.707027,-88.482681
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 6,Prologis,"Beecher Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-6/,41.693646,-88.470361
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 8,Prologis,"Galena Rd & Eldamain Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-8/,41.710854,-88.481848
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 7,Prologis,"Beecher Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-7/,41.69233,-88.470427
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 5,Prologis,"Beecher Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-5/,41.695013,-88.470295
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 21,Prologis,"W Beecher Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-21/,41.697268,-88.481164
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Cardinal - Building 9,Prologis,"Route 47 & Galena Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-cardinal-building-9/,41.71352,-88.462782
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 18,Prologis,"W Beecher Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-18/,41.701068,-88.481195
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 12,Prologis,"Eldamain Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-12/,41.708238,-88.482516
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 17,Prologis,"W Beecher Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-17/,41.702441,-88.481225
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 1,Prologis,"E Beecher Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-1/,41.700177,-88.4704
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Cardinal - Building 2,Prologis,"Route 47 & Galena Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-cardinal-building-2/,41.718985,-88.477856
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 24,Prologis,"W Beecher Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-24/,41.696639,-88.478471
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 15,Prologis,"W Beecher Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-15/,41.706591,-88.479339
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 20,Prologis,"W Beecher Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-20/,41.698568,-88.48117
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 11,Prologis,"W Beecher Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-11/,41.709031,-88.478793
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Cardinal - Building 6,Prologis,"Route 47 & Galena Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-cardinal-building-6/,41.718735,-88.459492
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Cardinal - Building 5,Prologis,"Route 47 & Galena Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-cardinal-building-5/,41.71868,-88.464152
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 4,Prologis,"Beecher Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-4/,41.696306,-88.470393
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Cardinal - Building 14,Prologis,"Route 47 & Galena Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-cardinal-building-14/,41.710296,-88.451012
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Cardinal - Building 11,Prologis,"Route 47 & Galena Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-cardinal-building-11/,41.713546,-88.453602
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 22,Prologis,"W Beecher Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-22/,41.695981,-88.481158
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 13,Prologis,"W Beecher Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-13/,41.707852,-88.479062
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Cardinal,Prologis,"Route 47 & Galena Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-cardinal/,41.71548005352616,-88.46539334719279
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel - Building 2,Prologis,"E Beecher Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel-building-2/,41.698873,-88.470372
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Cardinal - Building 10,Prologis,"Route 47 & Galena Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-cardinal-building-10/,41.713493,-88.457977
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Cardinal - Building 13,Prologis,"Route 47 & Galena Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-cardinal-building-13/,41.710191,-88.455595
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Cardinal - Building 7,Prologis,"Route 47 & Galena Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-cardinal-building-7/,41.71879,-88.454721
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,CyrusOne Yorkville Campus,CyrusOne Data Centers,"Faxon Rd / Eldamain Rd / Beecher Rd, Yorkville, IL, 60545, USA",https://www.datacentermap.com/usa/illinois/aurora/cyrusone-yorkville-campus/,41.67885325578799,-88.48045680608419
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,Prologis Project Steel,Prologis,"Galena Rd & Eldamain Rd, Yorkville, IL, 60554, USA",https://www.datacentermap.com/usa/illinois/aurora/prologis-project-steel/,41.703587,-88.476056
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,CyrusOne Yorkville - Building 3,CyrusOne Data Centers,"Eldamain Rd, Yorkville, IL, 60545, USA",https://www.datacentermap.com/usa/illinois/aurora/cyrusone-yorkville-building-3/,41.678617,-88.484143
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,CyrusOne Yorkville - Building 1,CyrusOne Data Centers,"Faxon Rd, Yorkville, IL, 60545, USA",https://www.datacentermap.com/usa/illinois/aurora/cyrusone-yorkville-building-1/,41.676765,-88.486444
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,CyrusOne Yorkville - Building 8,CyrusOne Data Centers,"Beecher Rd, Yorkville, IL, 60545, USA",https://www.datacentermap.com/usa/illinois/aurora/cyrusone-yorkville-building-8/,41.679798,-88.474716
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,CyrusOne Yorkville - Building 9,CyrusOne Data Centers,"Beecher Rd, Yorkville, IL, 60545, USA",https://www.datacentermap.com/usa/illinois/aurora/cyrusone-yorkville-building-9/,41.678429,-88.474758
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,CyrusOne Yorkville - Building 4,CyrusOne Data Centers,"Faxon Rd, Yorkville, IL, 60545, USA",https://www.datacentermap.com/usa/illinois/aurora/cyrusone-yorkville-building-4/,41.676831,-88.481769
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,CyrusOne Yorkville - Building 2,CyrusOne Data Centers,"Faxon Rd, Yorkville, IL, 60545, USA",https://www.datacentermap.com/usa/illinois/aurora/cyrusone-yorkville-building-2/,41.676791,-88.484117
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,CyrusOne Yorkville - Building 7,CyrusOne Data Centers,"Beecher Rd, Yorkville, IL, 60545, USA",https://www.datacentermap.com/usa/illinois/aurora/cyrusone-yorkville-building-7/,41.679565,-88.47713
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,CyrusOne Yorkville - Building 5,CyrusOne Data Centers,"Faxon Rd, Yorkville, IL, 60545, USA",https://www.datacentermap.com/usa/illinois/aurora/cyrusone-yorkville-building-5/,41.676833,-88.479386
Aurora,https://www.datacentermap.com/usa/illinois/aurora/,CyrusOne Yorkville - Building 6,CyrusOne Data Centers,"Beecher Rd, Yorkville, IL, 60545, USA",https://www.datacentermap.com/usa/illinois/aurora/cyrusone-yorkville-building-6/,41.677734,-88.477088
Bloomington,https://www.datacentermap.com/usa/illinois/bloomington/,STL Data Center,STL,"501 S. Towanda Barnes Rd., Bloomington, IL, 61705, USA",https://www.datacentermap.com/usa/illinois/bloomington/c9d-data-center-services/,40.4729587,-88.9021915
Bloomington,https://www.datacentermap.com/usa/illinois/bloomington/,Pearl Technology Bloomington Data Center,Pearl Technology,"303 E Washington Street, Bloomington, IL, 61571, USA",https://www.datacentermap.com/usa/illinois/bloomington/a5-bloomington/,40.4796501,-88.9909055
Champaign,https://www.datacentermap.com/usa/illinois/champaign/,Consolidated Mattoon,Consolidated Communications,"1501 Charleston Ave, Mattoon, IL, 61938, USA",https://www.datacentermap.com/usa/illinois/champaign/consolidated-mattoon/,39.481175,-88.37280299999999
Champaign,https://www.datacentermap.com/usa/illinois/champaign/,ColocationPLUS Champaign,ColocationPLUS,"401 S Chestnut, Champaign, IL, 61820, USA",https://www.datacentermap.com/usa/illinois/champaign/colocationplus-champaign/,40.1124273,-88.2424913
Peoria,https://www.datacentermap.com/usa/illinois/peoria/,Pearl Technology Peoria Data Center,Pearl Technology,"606 NE Jefferson Street, Peoria, IL, 61603, USA",https://www.datacentermap.com/usa/illinois/peoria/a5-peoria/,40.696644,-89.583765
Rockford,https://www.datacentermap.com/usa/illinois/rockford/,DataPoint Data Center,"DataPoint, Inc.","4901 Colt Road, Rockford, IL, 61109, USA",https://www.datacentermap.com/usa/illinois/rockford/datapoint/,42.2255003,-89.0209314
Rantoul,https://www.datacentermap.com/usa/illinois/rantoul/,ColocationPLUS Rantoul 1,ColocationPLUS,"101 W International Ave, Rantoul, IL, 61866, USA",https://www.datacentermap.com/usa/illinois/rantoul/colocationplus-rantoul/,40.3018532,-88.1594036
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Aligned ORD-01,Aligned Data Centers,"505 Northwest Avenue, Northlake, IL, 60164, USA",https://www.datacentermap.com/usa/illinois/chicago/aligned-ord-01/,41.91339186039755,-87.91755088123612
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Digital Fortress Chicago,Digital Fortress,"360 E 22nd St., Lombard, IL, 60148, USA",https://www.datacentermap.com/usa/illinois/chicago/digital-fortress-chicago/,41.84582138061523,-88.00611877441406
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,CloudHQ ORD Campus,CloudHQ,"1200 E Algonquin Rd, Des Plaines, IL, 60016, USA",https://www.datacentermap.com/usa/illinois/chicago/cloudhq-ord-campus/,42.0350399,-87.9532615
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Equinix CH2,Equinix,"350 E Cermak Rd, Chicago, IL, 60616, USA",https://www.datacentermap.com/usa/illinois/chicago/equinix-chicago-2/,41.8531135,-87.6183281
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Equinix CH1,Equinix,"350 E Cermak Rd, Chicago, IL, 60616, USA",https://www.datacentermap.com/usa/illinois/chicago/equinix-chicago/,41.8531135,-87.6183281
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,QTS Chicago 1 DC1,QTS Data Centers,"2800 S. Ashland Ave, Chicago, IL, 60608, USA",https://www.datacentermap.com/usa/illinois/chicago/qts-chicago/,41.8418945,-87.6679234
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,FirstComm Data Center,First Communications,"601 W Polk St, Chicago, IL, 60607, USA",https://www.datacentermap.com/usa/illinois/chicago/first-com-dc/,41.87159,-87.643055
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,STACK Infrastructure CHI01B,STACK INFRASTRUCTURE,"1301 Touhy Ave, Elk Grove Village, IL, 60007, USA",https://www.datacentermap.com/usa/illinois/chicago/stack-infrastructure-chi01b/,42.0070232,-87.9664585
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,365 Data Centers - Chicago 1,365 Data Centers,"427 S La Salle St, Chicago, IL, 60605, USA",https://www.datacentermap.com/usa/illinois/chicago/365main-chicago/,41.8273191,-87.6297396
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Centersquare - Chicago ORD2-A,Centersquare,"2425 Busse Road, Elk Grove Village, IL, 60007, USA",https://www.datacentermap.com/usa/illinois/chicago/cyxtera-ord1/,41.99205367086571,-87.95830249786377
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,CoreSite Chicago (CH2),CoreSite,"1432 S Clinton St., Chicago, IL, 60607, USA",https://www.datacentermap.com/usa/illinois/chicago/coresite-chicago-ch2/,41.862554,-87.6409666
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Equinix CH3,Equinix,"1905 Lunt Avenue, Elk Grove Village, IL, 60007, USA",https://www.datacentermap.com/usa/illinois/chicago/equinix-ch3/,42.0010976,-87.9548634
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Centersquare - Chicago ORD1-B,Centersquare,"350 East Cermak, Chicago, IL, 60609, USA",https://www.datacentermap.com/usa/illinois/chicago/cyxtera-ord1b/,41.85355060316745,-87.61832177639008
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,STACK Infrastructure CHI01A,STACK INFRASTRUCTURE,"1441 Touhy Ave, Elk Grove Village, IL, 60007, USA",https://www.datacentermap.com/usa/illinois/chicago/stack-infrastructure-chi01a/,42.00678026127915,-87.96528458998615
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Cogent Data Center - Chicago 3,"Cogent Communications, Inc.","4200 W 40th St, Chicago, IL, 60632, USA",https://www.datacentermap.com/usa/illinois/chicago/cogent-data-center-chicago-3/,41.8199452,-87.7288994
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Chicago Board of Trade Building,"Apollo Global Management, Inc.","141 West Jackson, Chicago, IL, 60604, USA",https://www.datacentermap.com/usa/illinois/chicago/Chicago Board of Trade Building/,41.8774207,-87.631836
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Apotech,Apotech,"1331 E Business Center Dr, Mt Prospect, IL, 60056, USA",https://www.datacentermap.com/usa/illinois/chicago/apotech/,42.0784091,-87.9156464
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Microsoft Northlake,Microsoft,"601-605 Northwest Ave, Northlake, IL, 60164, USA",https://www.datacentermap.com/usa/illinois/chicago/microsoft-northlake/,41.9229989,-87.9182329
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,NetSource Naperville 1,"NetSource Communications, Inc.","2368 Corporate Lane, Naperville, IL, 60563, USA",https://www.datacentermap.com/usa/illinois/chicago/netsource/,41.8115157,-88.1957266
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,NTT Chicago CH2,NTT Global Data Centers,"275 Pierce Rd, Itasca, IL, 60143, USA",https://www.datacentermap.com/usa/illinois/chicago/ntt-chicago-ch2/,41.98895224309584,-88.00718656785558
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,NTT Chicago CH3,NTT Global Data Centers,"255 Pierce Rd, Itasca, IL, 60143, USA",https://www.datacentermap.com/usa/illinois/chicago/ntt-chicago-ch3/,41.98670525835837,-88.00789289414456
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Ascent CH2,Ascent,"505 N Railroad Ave, Northlake, IL, 60164, USA",https://www.datacentermap.com/usa/illinois/chicago/ascent-ch2/,41.9202673,-87.9123343
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,CoreWeave Hammond,CoreWeave,"301 Digital Xrds Dr, Hammond, IL, 46320, USA",https://www.datacentermap.com/usa/illinois/chicago/coreweave-hammond/,41.705063,-87.51888699999999
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,CyrusOne CHI6 - Wood Dale,CyrusOne Data Centers,"Bryn Mawr Ave & Pine Ave, Wood Dale, IL, 60106, USA",https://www.datacentermap.com/usa/illinois/chicago/cyrusone-chi6-wood-dale/,41.97819203494112,-87.96145930242726
Chicago,https://www.datacentermap.com/usa/illinois/chicago/,Aligned ORD-02,Aligned Data Centers,"505 Northwest Avenue, Northlake, IL, 60164, USA",https://www.datacentermap.com/usa/illinois/chicago/aligned-ord-02/,41.91339186039755,-87.91755088123612
